Area,Item,Element,Year,Unit,Value
Belize,"Coffee, green",Import Quantity,1964,tonnes,20.0
Saint Lucia,Wafers,Import Value,2000,1000 US$,18.0
France,"Oil, palm kernel",Import Quantity,1964,tonnes,2690.0
Argentina,Malt,Import Value,1997,1000 US$,16998.0
Italy,Sweet corn prep or preserved,Export Value,2013,1000 US$,7354.0
Saint Lucia,"Anise, badian, fennel, coriander",Import Quantity,1999,tonnes,15.0
New Caledonia,"Meat, chicken",Import Value,2009,1000 US$,16753.0
Solomon Islands,Alfalfa meal and pellets,Export Value,1975,1000 US$,
Bulgaria,Cream fresh,Export Quantity,1985,tonnes,
Greece,"Potatoes, frozen",Import Quantity,1983,tonnes,824.0
Indonesia,Hops,Export Value,1974,1000 US$,0.0
France,Fodder & Feeding stuff,Import Quantity,1990,tonnes,6122407.0
Fiji,Cinnamon (canella),Import Quantity,1990,tonnes,20.0
Portugal,Mixes and doughs,Import Value,2006,1000 US$,14458.0
Canada,Wheat,Export Value,1978,1000 US$,1677484.0
Bangladesh,Figs dried,Import Value,2001,1000 US$,0.0
Mauritius,Straw husks,Export Quantity,1972,tonnes,
Tuvalu,Meat Sheep Fresh,Import Quantity,1975,tonnes,0.0
United Republic of Tanzania,Eggplants (aubergines),Export Value,1964,1000 US$,
Thailand,Mixes and doughs,Import Value,1964,1000 US$,0.0
Dominica,"Wheat+Flour,Wheat Equivalent",Export Value,1965,1000 US$,
Sierra Leone,"Tobacco, unmanufactured",Export Value,1963,1000 US$,0.0
Finland,"Sugar,Total (Raw Equiv.)",Export Value,1999,1000 US$,4813.0
Turkey,"Margarine, short",Export Value,1999,1000 US$,77210.0
Malaysia,"Cigars, cheroots",Export Quantity,1971,tonnes,0.0
Ecuador,Animal Vegetable Oil,Export Value,2010,1000 US$,196026.0
United Arab Emirates,"Offals, liver geese",Export Value,1962,1000 US$,
Spain,Natural Rubber,Import Value,1995,1000 US$,215633.0
Bahamas,Sweet potatoes,Import Value,1966,1000 US$,27.0
Nigeria,"Cotton, carded, combed",Export Quantity,1990,tonnes,1175.0
Caribbean,Olives preserved,Export Value,2007,1000 US$,3.0
Melanesia,Fatty acids,Export Value,1976,1000 US$,0.0
Latvia,Bacon and ham,Import Value,2004,1000 US$,2009.0
Sri Lanka,Cloves,Export Value,1964,1000 US$,14.0
Cameroon,Kola nuts,Import Quantity,2000,tonnes,32.0
Grenada,Tea,Export Quantity,1990,tonnes,
Luxembourg,Cotton linter,Import Quantity,2007,tonnes,7.0
Cabo Verde,Sesame seed,Import Value,1962,1000 US$,
Brazil,Wine+Vermouth+Sim.,Import Value,1975,1000 US$,5240.0
Denmark,"Juice, citrus, concentrated",Import Quantity,2012,tonnes,1304.0
Burkina Faso,Beer,Import Value,2001,1000 US$,53.0
Burkina Faso,"Peas, green",Export Quantity,2009,tonnes,0.0
Finland,Quinces,Export Value,2008,1000 US$,0.0
Egypt,"Juice, grapefruit, concentrated",Import Quantity,2004,tonnes,
Nepal,"Honey, natural",Export Quantity,1978,tonnes,0.0
Oman,"Honey, natural",Import Quantity,1966,tonnes,0.0
Angola,"Flour, wheat",Export Quantity,2003,tonnes,22.0
Turkey,Natural Rubber,Export Value,1972,1000 US$,0.0
Australia,Milk Equivalent,Export Value,2003,1000 US$,1323564.0
Thailand,Meat Prepared Pres,Export Quantity,1966,tonnes,0.0
China,Crude Materials -Ex2,Export Value,1963,1000 US$,180787.0
Switzerland,Other Meat,Export Value,1979,1000 US$,1262.0
Madagascar,"Meat, beef, preparations",Import Quantity,1978,tonnes,2.0
Oman,"Walnuts, shelled",Export Quantity,1965,tonnes,
Nigeria,"Meat, cattle, boneless (beef & veal)",Import Value,1974,1000 US$,
France,"Tangerines, mandarins, clementines, satsumas",Export Quantity,1971,tonnes,5755.0
Grenada,"Peas, dry",Import Quantity,2008,tonnes,161.0
Côte d'Ivoire,"Mushrooms, canned",Export Value,1969,1000 US$,
Paraguay,Cider etc,Import Value,1995,1000 US$,2706.0
Lebanon,"Silk-worm cocoons, reelable",Export Quantity,2008,tonnes,0.0
Zimbabwe,Cauliflowers and broccoli,Export Quantity,1991,tonnes,3.0
Zimbabwe,"Cotton, carded, combed",Import Quantity,1966,tonnes,0.0
Ethiopia,"Cereals, breakfast",Export Quantity,1996,tonnes,
United Arab Emirates,"Olive Oil,Total",Import Quantity,2006,tonnes,5735.0
Mozambique,Meat Sheep Fresh,Import Quantity,1985,tonnes,
Russian Federation,Sesame seed,Export Value,2006,1000 US$,9.0
Guyana,"Juice, citrus, concentrated",Import Quantity,1965,tonnes,
Bolivia (Plurinational State of),Pulses,Import Quantity,1991,tonnes,3766.0
Iran (Islamic Republic of),Tobacco,Import Value,1961,1000 US$,0.0
Republic of Korea,"Roots and tubers, nes",Export Value,1990,1000 US$,212.0
Côte d'Ivoire,"Milk, skimmed cow",Export Quantity,1998,tonnes,0.0
Honduras,Oats,Import Value,1989,1000 US$,101.0
Yugoslav SFR,"Meat, beef, preparations",Export Quantity,1977,tonnes,5669.0
Romania,Sugar refined,Export Quantity,2009,tonnes,36996.0
Burkina Faso,Offals Edibl Fresh,Export Quantity,1972,tonnes,0.0
Iceland,Meat Poultry Fresh,Export Value,1986,1000 US$,43.0
Slovenia,Meat Sheep Fresh,Export Quantity,1997,tonnes,0.0
Belize,"Feed, compound, nes",Export Value,2007,1000 US$,0.0
Niger,"Oil, groundnut",Import Value,2012,1000 US$,513.0
Iraq,Natural Rubber,Import Quantity,1970,tonnes,1273.0
Sweden,"Meat, cattle",Export Quantity,2007,tonnes,353.0
Sri Lanka,"Waters,ice etc",Export Value,2009,1000 US$,226.0
Egypt,Oilseeds nes,Export Value,1999,1000 US$,1.0
Algeria,Lettuce and chicory,Export Value,1984,1000 US$,
Venezuela (Bolivarian Republic of),"Eggs, liquid",Export Quantity,1974,tonnes,0.0
China,"Peas, dry",Export Quantity,2006,tonnes,2430.0
Rwanda,Oilseeds nes,Export Quantity,1984,tonnes,
Cyprus,Currants,Import Quantity,1987,tonnes,0.0
Romania,"Wool, greasy",Export Value,1968,1000 US$,2400.0
Republic of Korea,"Chillies and peppers, dry",Import Value,1990,1000 US$,65.0
Spain,Tobacco products nes,Export Quantity,1998,tonnes,97.0
Saint Lucia,Tomatoes,Import Quantity,2010,tonnes,18.0
Slovakia,"Feed, pulp of fruit",Import Quantity,2004,tonnes,35.0
Antigua and Barbuda,"Chillies and peppers, dry",Import Value,1988,1000 US$,
Portugal,"Oil, soybean",Export Quantity,2006,tonnes,61711.0
Ecuador,Dates,Import Quantity,1972,tonnes,
Tonga,"Oil, boiled etc",Import Quantity,1964,tonnes,0.0
Bhutan,Tobacco,Import Quantity,1993,tonnes,24.0
Qatar,"Cocoa, powder & cake",Export Quantity,1991,tonnes,
New Caledonia,"Meat, cattle, boneless (beef & veal)",Export Quantity,1993,tonnes,
Mali,"Oil, olive, virgin",Export Value,2003,1000 US$,
Oman,Rape+Mustard Oils,Import Quantity,2002,tonnes,3.0
Ukraine,Cotton lint,Import Value,1993,1000 US$,36000.0
United States of America,"Butter, cow milk",Export Quantity,1966,tonnes,5505.0
Panama,Persimmons,Import Value,1994,1000 US$,
Nigeria,Poppy seed,Import Quantity,1978,tonnes,
Ecuador,"Chillies and peppers, dry",Import Value,1997,1000 US$,11.0
Bulgaria,Waxes vegetable,Export Value,1997,1000 US$,6.0
Ireland,"Feed and meal, gluten",Import Value,1989,1000 US$,87044.0
Comoros,Oilseed Cake Meal,Import Value,2001,1000 US$,4.0
Saudi Arabia,Grapes,Export Value,1971,1000 US$,0.0
Ghana,Fodder & Feeding stuff,Export Quantity,1963,tonnes,211.0
Israel,"Honey, natural",Import Value,2006,1000 US$,930.0
Australia,Barley,Import Quantity,1982,tonnes,3.0
Barbados,Natural Rubber,Export Quantity,1970,tonnes,
Russian Federation,Pineapples canned,Export Value,2000,1000 US$,7.0
Swaziland,Flax Fib+Tow+W,Export Value,1973,1000 US$,
Benin,"Oil, boiled etc",Import Quantity,2008,tonnes,20.0
Guinea,Coffee Green+Roast,Import Value,2004,1000 US$,59.0
Switzerland,Rice,Import Quantity,1968,tonnes,21169.0
Niue,Beeswax,Export Value,1966,1000 US$,0.0
Dominican Republic,"Beans, dry",Import Quantity,1967,tonnes,3179.0
Rwanda,"Cake, linseed",Export Quantity,1990,tonnes,
Eritrea,Molasses,Import Value,2010,1000 US$,230.0
USSR,Oilseed Cake nes,Import Value,1972,1000 US$,0.0
Singapore,Pears,Export Quantity,1962,tonnes,1283.0
New Caledonia,Lettuce and chicory,Export Quantity,1963,tonnes,
Venezuela (Bolivarian Republic of),Rice,Export Quantity,1992,tonnes,51244.0
Thailand,Sugar and Honey,Import Value,2002,1000 US$,32677.0
Burkina Faso,"Juice, grapefruit",Import Quantity,1985,tonnes,
Uruguay,"Milk, whole fresh cow",Import Value,1991,1000 US$,0.0
Cameroon,Rape+Mustard Oils,Export Value,2013,1000 US$,0.0
Bolivia (Plurinational State of),"Cake, palm kernel",Import Quantity,1995,tonnes,
Dominica,Maple sugar and syrups,Import Value,1977,1000 US$,
Netherlands,"Fructose and syrup, other",Import Value,1967,1000 US$,0.0
Guatemala,"Pumpkins, squash and gourds",Import Value,2004,1000 US$,
Sierra Leone,Cereals,Export Value,2010,1000 US$,0.0
Ethiopia PDR,Vermouths & similar,Import Quantity,1979,tonnes,0.0
Madagascar,Dates,Import Value,1972,1000 US$,7.0
Georgia,"Spices, nes",Import Value,2010,1000 US$,391.0
Colombia,"Flour, pulses",Export Value,1962,1000 US$,
Senegal,Eggplants (aubergines),Import Value,1974,1000 US$,
India,Ginger,Import Quantity,1993,tonnes,3595.0
United Kingdom,"Cocoa, beans",Export Value,2006,1000 US$,1843.0
Tonga,"Flour, roots and tubers nes",Import Value,1990,1000 US$,16.0
Slovakia,"Coffee, husks and skins",Import Value,2010,1000 US$,13.0
Denmark,Cider etc,Import Value,1985,1000 US$,877.0
Oman,"Roots and tubers, nes",Import Quantity,1975,tonnes,0.0
Switzerland,Lard,Import Quantity,2000,tonnes,1355.0
Israel,"Maize, green",Export Value,1971,1000 US$,0.0
Melanesia,"Juice, citrus, single strength",Import Value,1979,1000 US$,0.0
Malaysia,Lentils,Export Quantity,2001,tonnes,214.0
Panama,Pineapples canned,Export Quantity,2008,tonnes,0.0
Norway,Malt,Export Quantity,1972,tonnes,0.0
Guyana,Pastry,Import Quantity,1971,tonnes,273.0
Saint Lucia,"Sugar, nes",Import Quantity,1984,tonnes,11.0
Bahrain,"Pyrethrum, dried",Import Quantity,1970,tonnes,
Angola,"Oil, palm",Export Value,1989,1000 US$,0.0
Micronesia,"Feed, compound, nes",Import Value,2007,1000 US$,35.0
Indonesia,Oilseed Cake Meal,Import Value,1991,1000 US$,84632.0
Iran (Islamic Republic of),Chestnut,Export Quantity,1979,tonnes,
New Caledonia,"Meat, pig, preparations",Import Quantity,1966,tonnes,
Switzerland,"Potatoes, frozen",Import Value,2009,1000 US$,4088.0
Turkey,Ginger,Export Value,1992,1000 US$,0.0
Niger,Milk Condensed + Evaporated,Export Quantity,1997,tonnes,272.0
Egypt,Bread,Import Quantity,1990,tonnes,0.0
Israel,"Oil, maize",Import Value,1968,1000 US$,0.0
Japan,"Juice, grapefruit",Import Quantity,1996,tonnes,23184.0
Singapore,Oats rolled,Import Quantity,1992,tonnes,1302.0
Italy,Avocados,Export Quantity,2003,tonnes,117.0
Guyana,Butter,Export Quantity,1987,tonnes,0.0
Iran (Islamic Republic of),"Eggs, dried",Export Quantity,1982,tonnes,0.0
Comoros,Canned Meat nes,Import Value,1967,1000 US$,0.0
Burundi,Cassava Equivalent,Import Quantity,2010,tonnes,10703.0
France,"Skins, calve, wet salted",Import Value,2003,1000 US$,12257.0
Brunei Darussalam,"Oil, groundnut",Export Value,1998,1000 US$,0.0
Nicaragua,Cottonseed,Export Quantity,1989,tonnes,0.0
Nicaragua,"Groundnuts, shelled",Import Quantity,2005,tonnes,21.0
Togo,"Eggs, hen, in shell",Import Quantity,1972,tonnes,5.0
Costa Rica,Oth Citrus Frt,Import Value,1988,1000 US$,
Slovenia,"Oil, palm kernel",Export Value,2004,1000 US$,1.0
Colombia,"Germ, maize",Export Quantity,2001,tonnes,0.0
Mexico,Figs,Import Value,2000,1000 US$,22.0
Greece,Cider etc,Export Value,1966,1000 US$,0.0
Madagascar,"Milk, whole fresh cow",Import Value,1978,1000 US$,0.0
United Kingdom,"Coffee, husks and skins",Export Value,1972,1000 US$,0.0
New Zealand,Cherries,Import Value,1982,1000 US$,39.0
Gambia,Rape+Mustard Seed,Import Value,1985,1000 US$,
Chile,"Buttermilk, curdled, acidified milk",Export Quantity,1986,tonnes,0.0
Faroe Islands,Ice cream and edible ice,Import Quantity,1991,tonnes,57.0
Georgia,"Honey, natural",Export Quantity,2013,tonnes,17.0
Singapore,"Eggs, liquid",Import Quantity,2008,tonnes,443.0
Jamaica,Cotton lint,Export Quantity,1978,tonnes,0.0
Qatar,Grease incl. lanolin wool,Import Value,2008,1000 US$,28.0
Sri Lanka,Plums dried (prunes),Export Value,1979,1000 US$,
Bahrain,Figs,Import Quantity,1974,tonnes,0.0
Saint Lucia,Oilseeds nes,Import Quantity,1994,tonnes,2.0
Kazakhstan,Mushrooms and truffles,Import Quantity,2008,tonnes,51.0
Republic of Moldova,"Hides, nes",Export Value,2001,1000 US$,9.0
Ghana,Coffee+Tea+Cocoa+Sp,Export Value,1962,1000 US$,197391.0
Kenya,"Feed and meal, gluten",Export Quantity,2005,tonnes,9.0
Russian Federation,"Flour, pulses",Import Quantity,1998,tonnes,187.0
Kenya,"Cashew nuts, shelled",Import Quantity,1966,tonnes,
Nepal,"Hazelnuts, shelled",Import Value,1964,1000 US$,
Kyrgyzstan,"Oil, soybean",Import Quantity,2006,tonnes,330.0
Gambia,"Bran, wheat",Import Value,2007,1000 US$,
Albania,Ovine Meat,Import Value,2010,1000 US$,1030.0
Kenya,Oth Citrus Frt,Export Value,2007,1000 US$,201.0
Qatar,Bovine Meat,Export Quantity,2007,tonnes,2.0
Turkey,"Leeks, other alliaceous vegetables",Import Value,1990,1000 US$,
Jamaica,"Flour, mixed grain",Import Value,1983,1000 US$,
Oman,"Cake, soybeans",Export Value,2013,1000 US$,531.0
Switzerland,Cereals and Preparations,Export Value,1970,1000 US$,10324.0
United Republic of Tanzania,"Chillies and peppers, dry",Import Quantity,2005,tonnes,33.0
"China, Hong Kong SAR",Fixed Vegetable Oils,Import Quantity,1971,tonnes,52704.0
Faroe Islands,Alfalfa meal and pellets,Import Quantity,1983,tonnes,0.0
Bahamas,Bovine Meat,Import Value,1998,1000 US$,21628.0
Congo,"Hides, nes",Export Value,2001,1000 US$,0.0
Bulgaria,"Oil, castor beans",Export Value,1977,1000 US$,0.0
Aruba,Pastry,Export Quantity,2005,tonnes,
Finland,"Walnuts, shelled",Import Quantity,1969,tonnes,0.0
Ireland,Pigmeat,Export Value,2000,1000 US$,255083.0
Botswana,Animal Oil+Fat+Grs,Export Quantity,1975,tonnes,2500.0
Mexico,"Meat, duck",Import Value,1970,1000 US$,
Botswana,Persimmons,Import Quantity,2002,tonnes,
Grenada,Poultry Meat,Export Value,2008,1000 US$,0.0
Syrian Arab Republic,"Cake, cottonseed",Export Value,1977,1000 US$,663.0
Guyana,Cigarettes,Import Quantity,2008,tonnes,659.0
Ireland,Flax fibre raw,Import Value,1966,1000 US$,0.0
United Arab Emirates,"Mushrooms, canned",Import Quantity,2002,tonnes,2690.0
Venezuela (Bolivarian Republic of),"Skins, calve, wet salted",Import Value,1962,1000 US$,0.0
Cambodia,"Meat, duck",Import Value,1979,1000 US$,
Finland,Meat Fresh+Ch+Frozen,Export Value,1988,1000 US$,4973.0
Uganda,"Pyrethrum, extraction",Export Value,2009,1000 US$,0.0
Mozambique,Crude Materials -Ex2,Import Value,1996,1000 US$,140.0
El Salvador,"Meat, turkey",Export Quantity,1962,tonnes,
Peru,"Skins, sheep, dry salted",Import Value,1974,1000 US$,
French Polynesia,Tomatoes,Import Value,1980,1000 US$,169.0
New Zealand,Chick peas,Export Value,1997,1000 US$,0.0
Afghanistan,"Meat, goat",Import Value,1968,1000 US$,
Hungary,"Cotton, carded, combed",Import Quantity,1997,tonnes,773.0
United States of America,Carrots and turnips,Import Value,1977,1000 US$,4745.0
Syrian Arab Republic,"Milk, skimmed cow",Export Quantity,1961,tonnes,
Portugal,Potatoes,Import Quantity,1988,tonnes,235321.0
Jordan,"Wheat+Flour,Wheat Equivalent",Import Quantity,2009,tonnes,636105.0
Mauritania,"Coffee, extracts",Import Value,2009,1000 US$,2032.0
Mozambique,"Beans, dry",Import Value,2006,1000 US$,
Melanesia,Peaches and nectarines,Import Quantity,2001,tonnes,116.0
Kyrgyzstan,"Wool, degreased",Import Quantity,1993,tonnes,
Namibia,"Flour, maize",Import Quantity,1976,tonnes,
Mexico,"Wool, hair waste",Export Quantity,1987,tonnes,0.0
Hungary,Wafers,Import Value,1961,1000 US$,
Bahrain,"Milk, skimmed dried",Import Value,1962,1000 US$,180.0
Bulgaria,Eggs in The Shell,Export Quantity,2002,tonnes,2138.0
Rwanda,"Oil, coconut (copra)",Import Quantity,1998,tonnes,42.0
Dominican Republic,"Flour, pulses",Import Value,1977,1000 US$,53.0
Kyrgyzstan,"Groundnuts, shelled",Export Value,1999,1000 US$,10.0
Republic of Korea,Pepper (piper spp.),Import Value,2011,1000 US$,25285.0
Aruba,"Juice, citrus, single strength",Import Value,2001,1000 US$,
Spain,Avocados,Export Value,1976,1000 US$,0.0
Croatia,Tobacco products nes,Export Value,2004,1000 US$,0.0
French Polynesia,"Coffee, roasted",Export Value,1980,1000 US$,
Botswana,Wafers,Import Value,1973,1000 US$,
Canada,Chocolate products nes,Export Quantity,1972,tonnes,8235.0
Qatar,Oranges,Import Quantity,2008,tonnes,21632.0
Norway,Manila fibre (abaca),Export Quantity,2000,tonnes,0.0
Sudan (former),"Oil, sunflower",Import Quantity,1975,tonnes,
Zimbabwe,"Tomatoes, peeled",Export Value,1979,1000 US$,0.0
Bosnia and Herzegovina,Flax Fib+Tow+W,Import Value,1995,1000 US$,
Melanesia,"Chillies and peppers, green",Export Quantity,1967,tonnes,0.0
Uganda,"Eggs, dried",Export Quantity,2005,tonnes,
Papua New Guinea,"Cocoa, paste",Import Value,1967,1000 US$,0.0
Greece,"Germ, maize",Import Value,1963,1000 US$,0.0
Vanuatu,"Sugar,Total (Raw Equiv.)",Import Value,1985,1000 US$,558.0
Greece,Canary seed,Import Value,1993,1000 US$,725.0
Djibouti,Beer of barley,Export Quantity,1976,tonnes,0.0
Ethiopia PDR,Ovine Meat,Export Value,1964,1000 US$,0.0
Yugoslav SFR,Alfalfa meal and pellets,Import Value,1982,1000 US$,0.0
Japan,"Eggs, other bird, in shell",Import Value,1978,1000 US$,
Cuba,"Offals, pigs, edible",Import Quantity,1985,tonnes,
United Arab Emirates,"Brazil nuts, shelled",Export Value,2008,1000 US$,29.0
Seychelles,Grease incl. lanolin wool,Import Value,2007,1000 US$,8.0
Netherlands,"Whey, condensed",Import Value,1969,1000 US$,0.0
Sri Lanka,"Cigars, cheroots",Export Value,2012,1000 US$,5751.0
French Polynesia,Oats rolled,Import Quantity,1969,tonnes,76.0
Guyana,"Chillies and peppers, green",Export Quantity,1973,tonnes,
Croatia,Oats,Import Value,1997,1000 US$,3.0
Benin,"Spices, nes",Export Value,1970,1000 US$,0.0
Côte d'Ivoire,"Potatoes, frozen",Import Value,1972,1000 US$,
Congo,Pineapples canned,Import Quantity,1984,tonnes,0.0
Israel,"Germ, maize",Import Quantity,1988,tonnes,0.0
Honduras,Milk Fresh,Export Value,1982,1000 US$,14.0
Romania,"Fat, nes, prepared",Export Value,2001,1000 US$,5.0
Caribbean,"Roots and tubers, nes",Import Quantity,1989,tonnes,686.0
Netherlands,Onions,Export Quantity,2008,tonnes,1108128.0
Burkina Faso,Mustard seed,Import Quantity,1967,tonnes,
Dominica,"Tomatoes, peeled",Import Quantity,2009,tonnes,11.0
Israel,Pineapples,Import Value,1988,1000 US$,0.0
Maldives,"Meat, cattle",Import Quantity,1970,tonnes,
Bulgaria,Silk raw,Export Value,2004,1000 US$,0.0
Belgium,"Tomatoes, paste",Export Quantity,2004,tonnes,3192.0
Namibia,"Meat, nes",Export Value,1993,1000 US$,
Albania,Wine+Vermouth+Sim.,Export Quantity,1997,tonnes,0.0
Oman,"Leeks, other alliaceous vegetables",Export Quantity,2007,tonnes,0.0
Guatemala,"Oil, cottonseed",Export Quantity,1995,tonnes,3437.0
Angola,"Waters,ice etc",Import Value,1997,1000 US$,1500.0
Malta,"Fat, nes, prepared",Export Value,2012,1000 US$,0.0
Colombia,"Cocoa, butter",Import Value,1967,1000 US$,0.0
United States of America,"Cocoa, beans",Export Value,1993,1000 US$,21919.0
Afghanistan,"Meat, goat",Import Value,1990,1000 US$,
Nepal,Onions,Import Quantity,1974,tonnes,0.0
Oman,Cherries,Import Quantity,1967,tonnes,0.0
Argentina,Straw husks,Import Value,1969,1000 US$,0.0
El Salvador,Lard,Export Value,1966,1000 US$,3.0
Oman,"Cherries, sour",Import Quantity,1964,tonnes,
Romania,"Offals, edible, cattle",Import Value,1964,1000 US$,0.0
Somalia,"Beans, green",Import Quantity,2001,tonnes,
Argentina,"Feed, vegetable products nes",Export Quantity,1982,tonnes,4983.0
Indonesia,"Sugar, nes",Export Value,1999,1000 US$,763.0
Madagascar,"Leeks, other alliaceous vegetables",Import Quantity,1975,tonnes,
Indonesia,"Olive Oil,Total",Import Value,1984,1000 US$,65.0
Brazil,"Cashew nuts, shelled",Export Value,2013,1000 US$,134169.0
Bulgaria,Avocados,Export Value,1981,1000 US$,
Afghanistan,Butter,Import Quantity,1997,tonnes,0.0
Mauritius,"Oil, groundnut",Import Value,1990,1000 US$,25.0
Singapore,Waxes vegetable,Export Quantity,1965,tonnes,28.0
Philippines,"Beans, green",Export Quantity,1997,tonnes,2.0
Australia,Cassava dried,Import Value,1965,1000 US$,0.0
Republic of Korea,Jute+Bast Fibres,Export Value,2008,1000 US$,37.0
Bulgaria,Sesame seed,Export Quantity,1999,tonnes,0.0
Argentina,Rapeseed,Import Value,2004,1000 US$,48.0
United Arab Emirates,Cottonseed,Export Value,1961,1000 US$,
Sri Lanka,"Cocoa, paste",Import Quantity,1982,tonnes,
Chile,"Milk, products of natural constituents nes",Import Quantity,1969,tonnes,0.0
Saint Lucia,Crude materials,Export Quantity,1977,tonnes,
Melanesia,Chick peas,Export Quantity,2003,tonnes,
Antigua and Barbuda,"Flour, pulses",Import Quantity,1986,tonnes,
Somalia,Macaroni,Import Value,1989,1000 US$,9200.0
Greece,Pistachios,Import Value,1982,1000 US$,8.0
Yugoslav SFR,"Meat, pork",Export Value,1968,1000 US$,6376.0
Switzerland,Bovine Meat,Export Quantity,1975,tonnes,37.0
